Number,Measure,Preamble,Question,Options,Randomize,ReverseCoded,id,Scoring,Part1,Part2,OnePart,OnePartLatex,subscale
11,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,I should be able to organize everything in advance.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.11,1;2;3;4;5,0,1,1,1,
12,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,I must get away from all uncertain situations.,Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me,false,0,ius.12,1;2;3;4;5,0,1,1,1,
13,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I feel down-hearted and blue.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.1,1;2;3;4,0,0,0,0,
14,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,Morning is when I feel the best.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.2,1;2;3;4,0,0,0,0,
15,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I have crying spells or feel like it.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.3,1;2;3;4,0,0,0,0,
16,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I have trouble sleeping at night.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.4,1;2;3;4,0,0,0,0,
17,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I eat as much as I used to.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.5,1;2;3;4,0,0,0,0,
18,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I still enjoy sex.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.6,1;2;3;4,0,0,0,0,
19,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I notice that I am losing weight.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.7,1;2;3;4,0,0,0,0,
20,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I have trouble with constipation.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.8,1;2;3;4,0,0,0,0,
21,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,My heart beats faster than normal.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.9,1;2;3;4,0,0,0,0,
22,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I get tired for no reason.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.10,1;2;3;4,0,0,0,0,
23,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,My mind is as clear as it used to be.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.11,1;2;3;4,1,0,1,1,
24,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I find it easy to do the things I used to do.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.12,1;2;3;4,1,0,1,1,
25,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I am restless and can't keep still.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.13,1;2;3;4,1,0,1,1,
26,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I feel hopeful about the future.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.14,1;2;3;4,1,0,1,1,
27,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I am more irritable than usual.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.15,1;2;3;4,0,0,0,0,
28,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I find it easy to make decisions.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.16,1;2;3;4,1,0,1,1,
29,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I feel that I am useful and needed.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.17,1;2;3;4,1,0,1,1,
30,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,My life is pretty full.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.18,1;2;3;4,1,0,1,1,
31,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I feel that others would be better off if I were dead.,A little of the time;Some of the time;Good part of the time;Most of the time,false,0,zung.19,1;2;3;4,0,0,0,0,
32,SDS,Please read each statement and decide HOW MUCH of the time the statement describes how you have been feeling during the PAST SEVERAL DAYS.,I still enjoy the things I used to do.,A little of the time;Some of the time;Good part of the time;Most of the time,false,1,zung.20,1;2;3;4,1,0,1,1,
33,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I have saved up so many things that they get in the way,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.1,0;1;2;3;4,1,0,1,1,
34,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I check things more often than necessary.,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.2,0;1;2;3;4,1,0,1,1,
35,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I get upset if objects are not arranged properly.,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.3,0;1;2;3;4,0,0,0,0,
36,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I feel compelled to count while I am doing things,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.4,0;1;2;3;4,1,0,1,1,
37,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I find it difficult to touch an object when I know it has been touched by strangers or certain people.,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.5,0;1;2;3;4,0,0,0,0,
38,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I find it difficult to control my own thoughts,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.6,0;1;2;3;4,1,0,1,1,
39,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I collect things I don't need,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.7,0;1;2;3;4,1,0,1,1,
40,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,"I repeatedly check doors, windows, drawers, etc.",Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.8,0;1;2;3;4,0,0,0,0,
41,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I get upset if others change the way I have arranged things,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.9,0;1;2;3;4,1,0,1,1,
42,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I feel I have to repeat certain numbers.,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.10,0;1;2;3;4,0,0,0,0,
43,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I sometimes have to wash or clean myself simply because I feel contaminated,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.11,0;1;2;3;4,1,0,1,1,
44,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I am upset by unpleasant thoughts that come into my mind against my will,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.12,0;1;2;3;4,1,0,1,1,
45,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I avoid throwing things away because I am afraid I might need them later.,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.13,0;1;2;3;4,1,0,1,1,
46,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I repeatedly check gas and water taps and light switches after turning them off.,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.14,0;1;2;3;4,0,0,0,0,
47,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I need things to be arranged in a particular way.,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.15,0;1;2;3;4,0,0,0,0,
48,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I feel that there are good and bad numbers.,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.16,0;1;2;3;4,1,0,1,1,
49,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I wash my hands more often and longer than necessary.,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.17,0;1;2;3;4,0,0,0,0,
50,OCIR,The following statements refer to experiences that many people have in their everyday lives. Rate according to the label that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I frequently get nasty thoughts and have difficulty in getting rid of them,Not at all;A little;Moderately;A lot;Extremely,false,0,ocir.18,0;1;2;3;4,1,0,1,1,
51,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Using a telephone in public,None;Mild;Moderate;Severe,false,0,leb.1,0;1;2;3,0,0,0,0,
52,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Participating in a small group activity,None;Mild;Moderate;Severe,false,0,leb.2,0;1;2;3,0,0,0,0,
53,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Eating in public,None;Mild;Moderate;Severe,false,0,leb.3,0;1;2;3,1,0,1,1,
54,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Drinking with others,None;Mild;Moderate;Severe,false,0,leb.4,0;1;2;3,0,0,0,0,
55,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Talking to someone in authority,None;Mild;Moderate;Severe,false,0,leb.5,0;1;2;3,0,0,0,0,
56,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,"Acting, performing, or speaking in front of an audience",None;Mild;Moderate;Severe,false,0,leb.6,0;1;2;3,0,0,0,0,
57,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Going to a party,None;Mild;Moderate;Severe,false,0,leb.7,0;1;2;3,0,0,0,0,
58,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Working while being observed,None;Mild;Moderate;Severe,false,0,leb.8,0;1;2;3,0,0,0,0,
59,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Writing while being observed,None;Mild;Moderate;Severe,false,0,leb.9,0;1;2;3,0,0,0,0,
60,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Calling someone you don't know very well,None;Mild;Moderate;Severe,false,0,leb.10,0;1;2;3,0,0,0,0,
61,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Talking face to face with someone you don't know very well,None;Mild;Moderate;Severe,false,0,leb.11,0;1;2;3,0,0,0,0,
62,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Meeting strangers,None;Mild;Moderate;Severe,false,0,leb.12,0;1;2;3,0,0,0,0,
63,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Urinating in a public bathroom,None;Mild;Moderate;Severe,false,0,leb.13,0;1;2;3,0,0,0,0,
64,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Entering a room when others are already seated,None;Mild;Moderate;Severe,false,0,leb.14,0;1;2;3,0,0,0,0,
65,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Being the center of attention,None;Mild;Moderate;Severe,false,0,leb.15,0;1;2;3,1,0,1,1,
66,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Speaking up at a meeting,None;Mild;Moderate;Severe,false,0,leb.16,0;1;2;3,0,0,0,0,
67,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,"Taking a test of your ability, skill, or knowledge",None;Mild;Moderate;Severe,false,0,leb.17,0;1;2;3,0,0,0,0,
68,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Expressing disagreement or disapproval to someone you don't know very well,None;Mild;Moderate;Severe,false,0,leb.18,0;1;2;3,0,0,0,0,
69,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Looking someone who you don't know very well straight in the eyes,None;Mild;Moderate;Severe,false,0,leb.19,0;1;2;3,0,0,0,0,
70,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Giving a prepared oral talk to a group,None;Mild;Moderate;Severe,false,0,leb.20,0;1;2;3,0,0,0,0,
71,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Trying to make someone's acquaintance for the purpose of a romantic/sexual relationship,None;Mild;Moderate;Severe,false,0,leb.21,0;1;2;3,1,0,1,1,
72,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Returning goods to a store for a refund,None;Mild;Moderate;Severe,false,0,leb.22,0;1;2;3,1,0,1,1,
73,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Giving a party,None;Mild;Moderate;Severe,false,0,leb.23,0;1;2;3,0,0,0,0,
74,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Resisting a high pressure sales person,None;Mild;Moderate;Severe,false,0,leb.24,0;1;2;3,1,0,1,1,
75,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Using a telephone in public,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.25,0;1;2;3,0,0,0,0,
76,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Participating in a small group activity,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.26,0;1;2;3,0,0,0,0,
77,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Eating in public,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.27,0;1;2;3,1,0,1,1,
78,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Drinking with others,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.28,0;1;2;3,0,0,0,0,
79,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Talking to someone in authority,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.29,0;1;2;3,0,0,0,0,
80,LSAS_B,Select the item that represents how much you would wish to avoid each situation,"Acting, performing, or speaking in front of an audience",Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.30,0;1;2;3,0,0,0,0,
81,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Going to a party,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.31,0;1;2;3,0,0,0,0,
82,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Working while being observed,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.32,0;1;2;3,0,0,0,0,
83,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Writing while being observed,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.33,0;1;2;3,0,0,0,0,
84,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Calling someone you don't know very well,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.34,0;1;2;3,0,0,0,0,
85,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Talking face to face with someone you don't know very well,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.35,0;1;2;3,0,0,0,0,
86,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Meeting strangers,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.36,0;1;2;3,0,0,0,0,
87,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Urinating in a public bathroom,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.37,0;1;2;3,0,0,0,0,
88,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Entering a room when others are already seated,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.38,0;1;2;3,0,0,0,0,
89,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Being the center of attention,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.39,0;1;2;3,1,0,1,1,
90,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Speaking up at a meeting,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.40,0;1;2;3,0,0,0,0,
91,LSAS_B,Select the item that represents how much you would wish to avoid each situation,"Taking a test of your ability, skill, or knowledge",Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.41,0;1;2;3,0,0,0,0,
92,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Expressing disagreement or disapproval to someone you don't know very well,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.42,0;1;2;3,0,0,0,0,
93,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Looking someone who you don't know very well straight in the eyes,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.43,0;1;2;3,0,0,0,0,
94,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Giving a prepared oral talk to a group,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.44,0;1;2;3,0,0,0,0,
95,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Trying to make someone's acquaintance for the purpose of a romantic/sexual relationship,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.45,0;1;2;3,1,0,1,1,
96,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Returning goods to a store for a refund,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.46,0;1;2;3,1,0,1,1,
97,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Giving a party,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.47,0;1;2;3,0,0,0,0,
98,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Resisting a high pressure sales person,Never (0%); Occasionally (1 -- 33%); Often (33 -- 67%); Usually (67 -- 100%),false,0,leb.48,0;1;2;3,1,0,1,1,
99,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I plan tasks carefully,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.1,1;2;3;4,1,0,1,1,
100,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I do things without thinking.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.2,1;2;3;4,0,0,0,0,
101,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I make-up my mind quickly.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.3,1;2;3;4,0,0,0,0,
102,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I am happy-go-lucky.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.4,1;2;3;4,0,0,0,0,
103,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,"I don't ""pay attention.'",Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.5,1;2;3;4,0,0,0,0,
104,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,"I have ""racing"" thoughts",Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.6,1;2;3;4,1,0,1,1,
105,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I plan trips well ahead of time.,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.7,1;2;3;4,0,0,0,0,
106,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I am self controlled.,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.8,1;2;3;4,0,0,0,0,
107,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I concentrate easily,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.9,1;2;3;4,1,0,1,1,
108,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I save regularly,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.10,1;2;3;4,0,0,0,0,
109,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,"I ""squirm"" at plays or lectures.",Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.11,1;2;3;4,0,0,0,0,
110,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I am a careful thinker.,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.12,1;2;3;4,0,0,0,0,
111,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I plan for job security,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.13,1;2;3;4,1,0,1,1,
112,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I say things without thinking.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.14,1;2;3;4,1,0,1,1,
113,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I like to think about complex problems.,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.15,1;2;3;4,1,0,1,1,
114,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I change jobs.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.16,1;2;3;4,0,0,0,0,
115,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,"I act ""on impulse"" ",Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.17,1;2;3;4,1,0,1,1,
116,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I get easily bored when solving thought problems.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.18,1;2;3;4,0,0,0,0,
117,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I act on the spur of the moment.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.19,1;2;3;4,0,0,0,0,
118,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I am a steady thinker,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.20,1;2;3;4,1,0,1,1,
119,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I change residences.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.21,1;2;3;4,0,0,0,0,
